country,total,code
Finland,7.769,FIN
Denmark,7.6,DNK
Norway,7.554,NOR
Iceland,7.494,ISL
Netherlands,7.488,NLD
Switzerland,7.48,CHE
Sweden,7.343,SWE
New Zealand,7.307,NZL
Canada,7.278,CAN
Austria,7.246,AUT
Australia,7.228,AUS
Costa Rica,7.167,CRI
Israel,7.139,ISR
Luxembourg,7.09,LUX
United Kingdom,7.054,GBR
Ireland,7.021,IRL
Germany,6.985,DEU
Belgium,6.923,BEL
United States,6.892,USA
Czech Republic,6.852,CZE
United Arab Emirates,6.825,ARE
Malta,6.726,MLT
Mexico,6.595,MEX
France,6.592,FRA
Taiwan,6.446,TWN
Chile,6.444,CHL
Guatemala,6.436,GTM
Saudi Arabia,6.375,SAU
Qatar,6.374,QAT
Spain,6.354,ESP
Panama,6.321,PAN
Brazil,6.3,BRA
Uruguay,6.293,URY
Singapore,6.262,SGP
El Salvador,6.253,SLV
Italy,6.223,ITA
Bahrain,6.199,BHR
Slovakia,6.198,SVK
Trinidad & Tobago,6.192,TTO
Poland,6.182,POL
Uzbekistan,6.174,UZB
Lithuania,6.149,LTU
Colombia,6.125,COL
Slovenia,6.118,SVN
Nicaragua,6.105,NIC
Kosovo,6.1,XKX
Argentina,6.086,ARG
Romania,6.07,ROU
Cyprus,6.046,CYP
Ecuador,6.028,ECU
Kuwait,6.021,KWT
Thailand,6.008,THA
Latvia,5.94,LVA
South Korea,5.895,KOR
Estonia,5.893,EST
Jamaica,5.89,JAM
Mauritius,5.888,MUS
Japan,5.886,JPN
Honduras,5.86,HND
Kazakhstan,5.809,KAZ
Bolivia,5.779,BOL
Hungary,5.758,HUN
Paraguay,5.743,PRY
Northern Cyprus,5.718,CYP
Peru,5.697,PER
Portugal,5.693,PRT
Pakistan,5.653,PAK
Russia,5.648,RUS
Philippines,5.631,PHL
Serbia,5.603,SRB
Moldova,5.529,MDA
Libya,5.525,LYB
Montenegro,5.523,MNE
Tajikistan,5.467,TJK
Croatia,5.432,HRV
Hong Kong,5.43,HKG
Dominican Republic,5.425,DOM
Bosnia and Herzegovina,5.386,BIH
Turkey,5.373,TUR
Malaysia,5.339,MYS
Belarus,5.323,BLR
Greece,5.287,GRC
Mongolia,5.285,MNG
North Macedonia,5.274,MKD
Nigeria,5.265,NGA
Kyrgyzstan,5.261,KGZ
Turkmenistan,5.247,TKM
Algeria,5.211,DZA
Morocco,5.208,MAR
Azerbaijan,5.208,AZE
Lebanon,5.197,LBN
Indonesia,5.192,IDN
China,5.191,CHN
Vietnam,5.175,VNM
Bhutan,5.082,BTN
Cameroon,5.044,CMR
Bulgaria,5.011,BGR
Ghana,4.996,GHA
Ivory Coast,4.944,CIV
Nepal,4.913,NPL
Jordan,4.906,JOR
Benin,4.883,BEN
Congo (Brazzaville),4.812,COG
Gabon,4.799,GAB
Laos,4.796,LAO
South Africa,4.722,ZAF
Albania,4.719,ALB
Venezuela,4.707,VEN
Cambodia,4.7,KHM
Palestinian Territories,4.696,PSE
Senegal,4.681,SEN
Somalia,4.668,SOM
Namibia,4.639,NAM
Niger,4.628,NER
Burkina Faso,4.587,BFA
Armenia,4.559,ARM
Iran,4.548,IRN
Guinea,4.534,GIN
Georgia,4.519,GEO
Gambia,4.516,GMB
Kenya,4.509,KEN
Mauritania,4.49,MRT
Mozambique,4.466,MOZ
Tunisia,4.461,TUN
Bangladesh,4.456,BGD
Iraq,4.437,IRQ
Congo (Kinshasa),4.418,COD
Mali,4.39,MLI
Sierra Leone,4.374,SLE
Sri Lanka,4.366,LKA
Myanmar,4.36,MMR
Chad,4.35,TCD
Ukraine,4.332,UKR
Ethiopia,4.286,ETH
Swaziland,4.212,SWZ
Uganda,4.189,UGA
Egypt,4.166,EGY
Zambia,4.107,ZMB
Togo,4.085,TGO
India,4.015,IND
Liberia,3.975,LBR
Comoros,3.973,COM
Madagascar,3.933,MDG
Lesotho,3.802,LSO
Burundi,3.775,BDI
Zimbabwe,3.663,ZWE
Haiti,3.597,HTI
Botswana,3.488,BWA
Syria,3.462,SYR
Malawi,3.41,MWI
Yemen,3.38,YEM
Rwanda,3.334,RWA
Tanzania,3.231,TZA
Afghanistan,3.203,AFG
Central African Republic,3.083,CAF
South Sudan,2.853,SSD
